IGPCV;DENOMINACION;PROVINCIA;MUNICIPIO;UTMESTE;UTMNORTE;CODCLASIFICACION;CLASIFICACION;CODCATEGORIA;CATEGORIA
"03.014-9999-000025";"Torre Bosch";"ALICANTE";"ALACANT";"4251654";"724571";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000026";"Torre Boter";"ALICANTE";"ALACANT";"4250621";"723183";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000027";"Torre Bourguño";"ALICANTE";"ALACANT";"4245662";"712084";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000028";"Torre Alameda o Nicolau";"ALICANTE";"ALACANT";"4251798";"723736";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000029";"Torre del Cabo de las Huertas";"ALICANTE";"ALACANT";"4248184";"726726";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000030";"Torre Ferrer";"ALICANTE";"ALACANT";"4249799";"724742";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000031";"Torre Juana";"ALICANTE";"ALACANT";"4251701";"724356";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000032";"Torre Medialibra";"ALICANTE";"ALACANT";"4250960";"724485";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000033";"Torre Plácida";"ALICANTE";"ALACANT";"4251111";"724641";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.014-9999-000034";"Torre Reixes";"ALICANTE";"ALACANT";"4250963";"723686";1;"Bienes inmuebles 1ª";4;"Monumento"
